标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
吾空山灵K6S灵圣 13代酷睿i713650HX 16英寸游戏本RTX4060学生设计笔记本电脑,6699.0,5000-7000元,其他品牌,游戏本,广东,深圳,0.0,WOOKING旗舰店
机械革命 蛟龙 z3Pro极光i7游戏笔记本电脑3060分期联想华硕4060,3407.0,3000-5000元,联想,游戏本,广东,深圳,300.0,品牌游戏本直销店
ROG枪神8 枪神7 Plus 超竞版 14代酷睿i9 4090游戏电竞笔记本电脑,8899.0,7000-9000元,玩家国度,游戏本,江苏,南京,3.0,电脑正品商城
msi微星官方旗舰店正品雷影17新款学生办公游戏笔记本电脑17英寸25K240Hz高刷大屏幕满血RTX4070显卡笔记本,9299.55,9000-10000元,其他品牌,游戏本,浙江,杭州,15.0,微星旗舰店
3060华硕游戏本电脑笔记本i7飞行堡垒大学生吃鸡天选4060独显联想,2276.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
Lenovo联想拯救者Y7000PR7000P大学生设计R9000P游戏笔记本电脑,4093.87,3000-5000元,联想,游戏本,江苏,常州,3.0,联泰正品数码商行
Huawei华为 MateBook E  E GO 2023款轻薄平板笔记本电脑2合1,3699.0,3000-5000元,华为,轻薄本,上海,未知,100.0,上海三足鼎数码店
二手笔记本电脑thinkpad联想T460S超薄IBM商务游戏i7手提闲鱼优品,829.62,3000元以下,联想,游戏本,广东,广州,36.0,科品数码优品 二手笔记本
2024新品联想拯救者R9000P Y9000P R7000P Y7000P游戏笔记本电脑,7349.0,7000-9000元,联想,游戏本,北京,未知,2000.0,笔记本电脑线上店
华硕无畏Pro15 2024 Ultra9 4060独显全能AI轻薄本办公笔记本电脑,4989.0,3000-5000元,华硕,轻薄本,北京,未知,10.0,ASUS商城
Hasee神舟战神Z8E62 I712650H 4070独显25K电竞游戏笔记本电脑,6839.05,5000-7000元,神舟,游戏本,河南,郑州,2.0,神船燕子神舟电脑电商中心
24期免息华为笔记本MateBook XPro2022新款轻薄142英寸专业全面屏笔记本电脑商务办公触屏笔记本1943,9799.0,9000-10000元,华为,轻薄本,北京,未知,16.0,苏宁易购官方旗舰店
HP惠普 光影精灵 5光影精灵7光暗影精灵8全新原装游戏笔记本电脑,2799.0,3000元以下,惠普,游戏本,江西,南昌,100.0,品牌游戏本体验店
2024新品HP惠普星BookPro14英特尔Evo酷睿Ultra7 28K屏轻薄便携学生女办公笔记本电脑惠普官方旗舰官网,5299.0,5000-7000元,惠普,轻薄本,山东,青岛,11.0,惠普酷灏专卖店
Acer宏碁 非凡Pro 非凡S5 Pro 酷睿i713700H轻薄高端轻奢笔记本电脑 14英寸25K高色域触控屏笔记本电脑,6079.0,5000-7000元,宏碁,轻薄本,湖南,长沙,11.0,宏碁萌芽专卖店
联想Thinkbook 16 16英寸轻薄办公学习笔记本电脑,4299.0,3000-5000元,联想,轻薄本,北京,未知,18.0,笔记本电脑大卖场店
官方正品迷你笔记本电脑10英寸便携式超轻薄办公本英特尔商务出差小尺寸电脑笔记本儿童学生网课家用手提,1313.87,3000元以下,其他品牌,轻薄本,广东,深圳,100.0,天业来数码专营店
Asus华硕灵耀14 2024 英特尔酷睿Ultra 7 28K 120Hz OLED 高颜值高性能AI超轻薄商务办公笔记本电脑官方,6599.0,5000-7000元,华硕,轻薄本,四川,成都,11.0,华硕九鑫专卖店
Acer宏碁传奇Edge 锐龙R76800U 16英寸4K OLED屏高性能高端颜值商务办公轻薄便携本宏基手提笔记本电脑,4622.0,3000-5000元,宏碁,轻薄本,北京,未知,5.0,宏碁冠恒嘉业专卖店
Xiaomi小米游戏笔记本电脑4060红米Redmi G大学生i7吃鸡3060联想,2690.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
Huawei华为Matebook 13S超薄便携商务办公高颜值笔记本电脑学生,4182.87,3000-5000元,华为,其他类型,广东,惠州,4.0,果粉笔记本中心
Dell戴尔 Latitude E7490笔记本电脑轻薄本商务办公英特尔酷睿i5,1293.87,3000元以下,戴尔,轻薄本,广东,深圳,200.0,华锋数码易购
DELL戴尔灵越14Plus 12代i5 i7办公设计学习制图笔记本电脑7420,4249.0,3000-5000元,戴尔,其他类型,北京,未知,100.0,品牌电脑之家
清仓瑕疵 华硕a豆14轻薄笔记本111213代护眼商务办公学生电脑,2399.0,3000元以下,华硕,轻薄本,江苏,南京,100.0,a豆笔记本商城
Lenovo联想 拯救者 Y7000Pi714700HXRTX4060 游戏笔记本电脑,7699.0,7000-9000元,联想,游戏本,北京,未知,44.0,拯救者笔记本企业店
华硕2024新款酷睿i7标压14英寸银色轻薄学习编程剪辑专用性价比高写代码商务办公1T2T数字键手提带键盘灯电脑,3899.0,3000-5000元,华硕,轻薄本,四川,成都,18.0,华开云享电脑专营店
正品荣耀Magicbook X16Pro轻薄16寸商务办公学生游戏笔记本电脑,3096.75,3000-5000元,荣耀,轻薄本,上海,未知,100.0,12年诚信老店
24期免息Apple苹果 MacBook Air 13英寸 M1芯片 配备8核中央处理器和7核图形处理器苹果笔记本电脑3589,6099.0,5000-7000元,苹果,其他类型,江苏,南京,1.0,苏宁易购官方旗舰店
HP惠普 惠普星14轻薄本14寸R5i5学生商务办公学习笔记本电脑,1493.87,3000元以下,惠普,轻薄本,江苏,南京,100.0,扬帆电脑科技
机械师曙光15Mate酷睿12代i512450H独显RTX4050游戏本RTX4060笔记本电脑165Hz156英寸学生商务办公本2804,4499.0,3000-5000元,机械革命,游戏本,福建,厦门,3.0,苏宁易购官方旗舰店
微星msi泰坦18Ultra GE78HX68 14代i9游戏本RTX4090笔记本电脑4K,16999.0,10000-20000元,其他品牌,游戏本,北京,未知,97.0,微星电竞自营店
Xiaomi小米 RedmiBook Pro 1415轻薄学生办公游戏红米笔记本电脑,2199.0,3000元以下,小米,轻薄本,湖北,武汉,62.0,翔宇数码商行
Xiaomi小米 RedmiBook 14 Pro学生轻薄手提办公i5红米笔记本电脑,1669.0,3000元以下,小米,轻薄本,湖北,武汉,44.0,华艺数码商行
MECHREVO机械革命旷世G16Pro i713650HX4060电竞游戏笔记本电脑,6499.0,5000-7000元,机械革命,游戏本,江苏,无锡,5.0,百亿电脑城
荣耀MagicBook14X14X16V14学生轻薄便捷新款游戏办公笔记本电脑,1771.87,3000元以下,荣耀,轻薄本,江西,南昌,13.0,花花数码科技商行
华硕灵耀X14 灵耀X 14太空版 12代酷睿I7 14英寸高色域轻薄高性能手提办公笔记本电脑苏宁易购官方旗舰店1634,4199.0,3000-5000元,华硕,轻薄本,江苏,南京,17.0,苏宁易购官方旗舰店
HP惠普 星 13 星13air 13BOOKPRO 25K超薄办公商务笔记本电脑,4948.0,3000-5000元,惠普,其他类型,上海,未知,89.0,沪金牌数码连锁实体店
Acer宏碁 暗影骑士擎 游戏本 掠夺者NEO 新款4060 笔记本电脑,7399.0,7000-9000元,宏碁,游戏本,北京,未知,100.0,acer宏碁电脑商城
DELL戴尔灵越1416Plus AI PC轻薄办公设计建模游戏本笔记本电脑,4349.0,3000-5000元,戴尔,轻薄本,北京,未知,24.0,品牌电脑之家
小米RedmiBookpro145红米146锐龙版2024学生办公轻薄笔记本电脑,2689.0,3000元以下,小米,轻薄本,北京,未知,94.0,海威数码科技品牌店
联想拯救者R9000P冰魄白23款Y9000P2024学生4060游戏本笔记本电脑,8988.0,7000-9000元,联想,游戏本,北京,未知,21.0,校园电竞商城
华为MateBook 14 2024款酷睿UItra U7U5手写触控28K笔记本电脑,3399.0,3000-5000元,华为,其他类型,北京,未知,100.0,鼎立数码电商
Lenovo联想IdeaPad 14S 15S酷睿156独显办公本轻薄笔记本电脑,2119.0,3000元以下,联想,轻薄本,江苏,南京,62.0,华中笔记本电脑店
Xiaomi小米 Redmi G 游戏本i7独显学生吃鸡红米G游戏笔记本电脑,3848.0,3000-5000元,小米,游戏本,湖北,武汉,100.0,华艺数码商行
HP惠普 星BookPro16英寸英特尔酷睿i7 U7独显25K大屏笔记本电脑,4499.0,3000-5000元,惠普,其他类型,北京,未知,22.0,惠普中国商城
华硕游戏笔记本电脑i7飞行堡垒玩家国度ROG天选2学生联想分期3060,2021.0,3000元以下,联想,游戏本,广东,深圳,53.0,大学生电竞笔记本商城
Asus华硕笔记本电脑飞行堡垒天选i5i7锐龙办公学生156寸天选游戏,1688.0,3000元以下,华硕,游戏本,湖北,武汉,47.0,品牌笔记本专门店
Lenovo联想 340 15 17 14寸i7电脑窄边办公学生笔记本低价清仓,900.0,3000元以下,联想,其他类型,广东,广州,11.0,百星奇数码
HP惠普 星bookpro14 星book1415轻薄便携学生办公设计笔记本电脑,2599.0,3000元以下,惠普,轻薄本,江西,南昌,23.0,星星电脑品牌优惠店
华硕笔记本电脑天选4 锐龙版156英寸高性能显电竞屏游戏本,6499.0,5000-7000元,华硕,游戏本,湖北,武汉,48.0,弘珵电脑店
戴尔DELL灵越3530十三代英特尔酷睿3520学生3000轻薄便携156英寸13代商务办公本官网手提笔记本电脑,3349.0,3000-5000元,戴尔,轻薄本,福建,厦门,100.0,戴尔力持专卖店
惠普HP战66 七代酷睿14英寸轻薄笔记本电脑英特尔高性能Ultra5 16G 512G低蓝光护眼屏 19项军标 AI生态,4399.0,3000-5000元,惠普,轻薄本,北京,未知,3.0,惠普锐博正业专卖店
Xiaomi小米 Redmi G游戏本2024红米G Pro 4060 240Hz笔记本电脑,8245.0,7000-9000元,小米,游戏本,上海,未知,100.0,忠勇数码
Acer宏碁非凡Go Pro酷睿标压i5 14英寸120Hz高刷28K笔记本电脑,3749.0,3000-5000元,宏碁,其他类型,湖南,长沙,3.0,宏碁数码商城
Huawei华为 MateBook 14 2024新款酷睿I5I7轻薄手提笔记本电脑,2682.87,3000元以下,华为,轻薄本,广东,惠州,4.0,果粉笔记本中心
联想ThinkPad S2 YOGA 2023新款 13代英特尔酷睿i7 133英寸折叠翻转手写触摸屏轻薄便携商务办公笔记本电脑,5499.0,5000-7000元,联想,轻薄本,福建,厦门,5.0,thinkpad新启联专卖店
联想ThinkBook15 12代酷睿i5 2022款 156英寸轻薄便携学生网课商务办公笔记本电脑苏宁易购官方旗舰865,3699.0,3000-5000元,联想,轻薄本,江苏,南京,8.0,苏宁易购官方旗舰店
Microsoft微软Surface Laptop Go 2 3 i5 8GB16GB 256GB笔记本电脑轻薄时尚124英寸商务学生触屏笔记本,3888.0,3000-5000元,微软,轻薄本,浙江,杭州,68.0,微软升捷专卖店
HP惠普 惠普暗影 暗影精灵9 10 9Plus暗夜光影SLIM 14笔记本电脑,5598.0,5000-7000元,惠普,其他类型,上海,未知,34.0,沪金牌数码连锁实体店
Lenovo联想ThinkPad新款笔记本电脑轻薄超便携i5i7办公设计游戏,1099.0,3000元以下,联想,轻薄本,广东,广州,32.0,ThankPad直售店铺
24期分期免息雷神笔记本电脑911Plus电竞笔记本电脑游戏本电竞笔记本13代i7RTX4060笔记本满血独显直连1484,7899.0,7000-9000元,雷神,游戏本,江苏,南京,57.0,苏宁易购官方旗舰店
Xiaomi小米 小米Pro 笔记本电脑红米12代全新未拆封游戏轻薄办公,1993.87,3000元以下,小米,轻薄本,湖北,武汉,39.0,小米华南数码科技
二手笔记本电脑HP惠普 zbook 15G3图形工作站I7四核独显17寸游戏,1293.0,3000元以下,惠普,游戏本,广东,广州,100.0,广州华誉电脑科技
2024新款HP惠普战系列七代锐龙版1416英寸轻薄笔记本R5R7电脑女学生学习25K高色域低蓝光轻薄办公本275,3499.0,3000-5000元,惠普,轻薄本,江苏,南京,1.0,苏宁易购官方旗舰店
ROG玩家国度 魔霸新锐2024 魔霸7Plus超能版电竞游戏本笔记本电脑,9288.0,9000-10000元,玩家国度,游戏本,河南,郑州,28.0,豫硕数码商城
24期分期新品上市机械师曙光16Air 英特尔酷睿Ultra7  轻薄本25K 120Hz屏笔记本电脑Ultra52804,4899.0,3000-5000元,机械革命,轻薄本,福建,厦门,2.0,苏宁易购官方旗舰店
华硕无畏14pro无畏15pro16 2024款Ultra9轻薄商务学生笔记本电脑,3149.0,3000-5000元,华硕,轻薄本,浙江,杭州,17.0,全新正品笔记本电脑商城
Huawei华为 MateBook E BLw09 二合一平板电脑笔记本 12代酷睿,6649.0,5000-7000元,华为,二合一笔记本,北京,未知,2.0,晨雨通讯
ThinkPad P51 i7联想笔记本电脑P50移动图形工作站P52P53独立显卡,2468.0,3000元以下,联想,其他类型,广东,广州,79.0,Win Win数码二手笔记本电脑
新款Apple苹果笔记本电脑MacBookPro商务学生办公设计M1游戏本i9,2488.0,3000元以下,苹果,游戏本,广东,深圳,6.0,皇家本本
联想thinkpad超薄X1 carbon yoga2018商务办公用i7笔记本电脑2019,2399.0,3000元以下,联想,其他类型,广东,广州,100.0,千度数码联想Thinkpad笔记本
12期免息联想ThinkPad X13 2024新款酷睿Ultra57 133英寸轻薄便携商务学生办公手提笔记本电脑官方旗舰,6399.0,5000-7000元,联想,轻薄本,福建,厦门,23.0,thinkpad新启联专卖店
Asus华硕灵耀Pro16灵耀X双屏双触控轻薄学生商务办公笔记本电脑,4293.87,3000-5000元,华硕,轻薄本,北京,未知,27.0,ROG玩家国度数码商城
华硕灵耀X14太空版 12代酷睿I7 14英寸标压高色域轻薄高性能手提办公笔记本电脑,4093.87,3000-5000元,华硕,轻薄本,江苏,南京,25.0,华硕点个赞专卖店
Hasee神舟 战神 Z7游戏本Z8独显6G吃鸡3060笔记本电脑i9 RTX4060,1370.87,3000元以下,神舟,游戏本,广东,广州,7.0,励诚优品数码
华硕游戏笔记本电脑ROG玩家国度魔霸3060天选3独显3070联想拯救者,2995.0,3000元以下,联想,游戏本,广东,深圳,27.0,品牌游戏本直销店
8寸手写触摸屏迷你掌上游戏笔记本电脑7轻薄便携商务办公手提电脑,2140.42,3000元以下,其他品牌,轻薄本,广东,深圳,23.0,领峰笔记本电脑工厂店
Lenovo联想 小新Air 14 2023 2022 2021 笔记本电脑轻薄本学生,1806.0,3000元以下,联想,轻薄本,广东,广州,41.0,百佳笔记本科技
Hasee神舟 战神T8Z8D6S8G8D6Z7RTX4060神州游戏笔记本电脑,4888.0,3000-5000元,神舟,游戏本,北京,未知,13.0,神船战神游戏本店
HP惠普星BookPro13 2024锐龙版25K轻薄星Air学习商务笔记本电脑,4799.0,3000-5000元,惠普,轻薄本,北京,未知,36.0,惠普笔记本电脑商城
机械革命2024款蛟龙16K16Pro独显直连RTX4060学生游戏笔记本电脑,5399.0,5000-7000元,机械革命,游戏本,湖北,武汉,7.0,武汉港边商贸游戏本
Microsoft微软   Laptop 4 商业专用版笔记本电脑办公便携轻薄,2899.0,3000元以下,微软,轻薄本,安徽,合肥,7.0,全球数码搬运工
HP惠普 战系列 战66五代六代酷睿锐龙版轻薄本商务笔记本电脑,2899.0,3000元以下,惠普,轻薄本,北京,未知,55.0,惠普笔记本电脑商城
华为笔记本电脑Matebook14 D16SE轻薄本商务办公学习电竞i7超极本,1139.0,3000元以下,华为,轻薄本,广东,深圳,3.0,福豪数码通讯
pc平板二合一迷你笔记本电脑8英寸触屏可翻转小尺寸掌上电脑商务办公轻薄本便携女生手提口袋电脑2024款,2393.87,3000元以下,其他品牌,轻薄本,广东,深圳,200.0,toposh旗舰店
正品荣耀MagicBook 14Pro23款游戏学生商务独显网办公笔记本电脑,3877.65,3000-5000元,荣耀,游戏本,上海,未知,100.0,12年诚信老店
Lenovo联想 拯救者 Y9000P 2022款R9000P办公学生游戏笔记本电脑,3583.87,3000-5000元,联想,游戏本,江西,南昌,10.0,京夕数码店
小米3060电竞笔记本4060红米Redmi G学生游戏本电脑i7吃鸡i5联想,2892.0,3000元以下,联想,游戏本,广东,深圳,0.0,品牌游戏本直销店
Hasee神舟 战神 Z7Z8D6S8G8R9G9RTX4060神舟游戏笔记本电脑,3988.0,3000-5000元,神舟,游戏本,北京,未知,21.0,神舟静鑫恒晟专卖店
机械革命 无界14Pro 学生轻薄本 办公游戏笔记本电脑高颜值新款,4599.0,3000-5000元,机械革命,轻薄本,北京,未知,73.0,笔记本官企业自销
Acer宏碁蜂鸟设计师专用高端电竞绘图全能英特尔商务办公轻薄女士游戏高配置学习性能级分期付款笔记本电脑,1693.87,3000元以下,宏碁,轻薄本,河北,石家庄,36.0,宏碁大运专卖店
Acer宏碁 掠夺者擎Neo 14代酷睿i5i7i9电竞游戏本笔记本电脑,7479.0,7000-9000元,宏碁,游戏本,湖南,长沙,7.0,宏碁电脑商城
ThinkPad P52S i7独显移动工作站53S笔记本电脑580联想T590P15S,1507.83,3000元以下,联想,其他类型,广东,广州,59.0,木森科技港二手笔记本电脑
Microsoft微软Surface Laptop 5 i5 i7 16GB 512GB 135英寸时尚商务轻薄便携笔记本电脑12代酷睿Laptop6,7688.0,7000-9000元,微软,轻薄本,浙江,杭州,86.0,微软升捷专卖店
Acer宏碁 非凡 Go16轻薄本非凡16英寸教育学生办公笔记本电脑,1899.0,3000元以下,宏碁,轻薄本,山东,烟台,4.0,范范数码商城
小米Redmi g游戏本2022 i5i7锐龙RTX3060 16寸吃鸡电竞笔记本电脑,2588.0,3000元以下,小米,游戏本,广东,广州,14.0,广州瀚彬科技
thinkpad联想P51 P52移动P50办公P15v工作站P53图形p17笔记本电脑,2999.0,3000元以下,联想,其他类型,广东,广州,200.0,千度数码联想Thinkpad笔记本
Lenovo联想 小新 air14 锐龙R5轻薄便携Air15游戏办公笔记本电脑,2399.0,3000元以下,联想,轻薄本,广东,深圳,900.0,联想正品数码科技
12期免息联想ThinkPad T14T14s 锐龙R7八核 14英寸商务办公手提笔记本电脑学生轻薄便携游戏IBM官方正品,4999.0,3000-5000元,联想,轻薄本,福建,厦门,46.0,thinkpad恒瀚专卖店
Lenovo联想昭阳E5轻薄K4e支持双硬盘办公学习笔记本电脑带网口,1800.0,3000元以下,联想,轻薄本,广东,广州,12.0,联想本本之家
ThinkPad联想ThinkBook 16 i5标压16英寸便携轻薄笔记本电脑,5299.0,5000-7000元,联想,轻薄本,上海,未知,44.0,天猫超市
Acer宏碁掠夺者擎Neo RTX4060游戏笔记本电脑13代酷睿13500HX高性能骨灰玩家级25k165hz电竞屏,6646.0,5000-7000元,宏碁,游戏本,河南,郑州,100.0,宏碁云之巅专卖店
Xiaomi小米 RedmiBook 16 2024款i5 13500H办公轻薄 笔记本电脑,3099.0,3000-5000元,小米,轻薄本,上海,未知,92.0,忠勇数码
23款苹果MacBookPro官方翻新机14寸16寸寸M2 M3笔记本电脑官翻机,12894.87,10000-20000元,苹果,其他类型,北京,未知,12.0,Macyang二手数码优品店
外星人笔记本电脑X14 X16R2 M18 M16 X14R2 M18R2 外星人游戏本,9500.0,9000-10000元,外星人,游戏本,四川,成都,50.0,高个子外星人
华硕a豆14 Pro1213代酷睿i5办公学生14英寸轻薄笔记本电脑官翻,2499.0,3000元以下,华硕,轻薄本,江苏,南京,100.0,a豆笔记本商城
DELL戴尔灵越13Pro13代i5i7轻薄办公设计剪辑学生笔记本电脑5330,3399.0,3000-5000元,戴尔,轻薄本,北京,未知,63.0,品牌电脑之家
新品上市HP惠普战X 7000系列锐龙R7R9处理器1614英寸学生办公CAD视频剪辑设计师图形设计笔记本电脑,5099.0,5000-7000元,惠普,其他类型,广东,广州,11.0,hp安答专卖店
Lenovo联想 v15 V15 i513420H 16G 156寸扬天便携笔记本电脑,2999.0,3000元以下,联想,其他类型,江苏,扬州,83.0,政企采购中心
HP惠普 zbook 15G5图形设计工作站17G3三维建模i7六核笔记本电脑,1685.87,3000元以下,惠普,其他类型,广东,广州,55.0,广州亿科贸易有限公司
官方正品火影T6A T5A R5R7 RTX独立显卡3050 16英寸25K屏165hz游戏本笔记本电脑学生本 便携笔记本电脑,3999.0,3000-5000元,其他品牌,游戏本,江苏,苏州,100.0,火影旗舰店
HP惠普笔记本电脑i7游戏本大学生网课超薄手提商务办公轻薄便携,998.0,3000元以下,惠普,轻薄本,广东,广州,36.0,惠普笔记本 电脑商城
DELL戴尔2023灵越14Plus 13代酷睿笔记本电脑建模设计轻薄本7430,4893.87,3000-5000元,戴尔,轻薄本,江苏,南京,23.0,戴尔自营企业店
联想YOGA 14C 2022款酷睿超轻薄翻转触控笔记本电脑YOGA AIR14C,1998.0,3000元以下,联想,轻薄本,湖南,长沙,45.0,EINHORN的本本
honor荣耀 MagicBook Pro i5酷睿Ultra7 AI轻薄高性能16电脑炫炬,5399.0,5000-7000元,荣耀,轻薄本,上海,未知,6.0,牛牛数码0909
新品现货联想小新Pro16超能本 2023旗舰锐龙版 标压R7 16英寸大屏学习办公轻薄本笔记本电脑 大屏轻薄本,4998.65,3000-5000元,联想,轻薄本,北京,未知,100.0,联想联保专卖店
LG gram16英寸AI超轻薄本笔记本电脑英特尔酷睿Ultra7155H高性能级便携笔记本电脑商务学生游戏笔记本电脑,8293.57,7000-9000元,其他品牌,轻薄本,北京,未知,21.0,LG天恩志兴专卖店
官方正品迷你笔记本电脑触屏便携小尺寸商务出差办公平板二合一折叠12英寸轻薄本儿童学生绘画设计师专用,1763.87,3000元以下,其他品牌,轻薄本,广东,深圳,82.0,天业来数码专营店
Acer宏碁 蜂鸟 未来 环保版 英特尔EVO认证 酷睿i5处理器 100高色域 156英寸学生网课设计办公笔记本电脑,5446.0,5000-7000元,宏碁,其他类型,湖南,长沙,5.0,宏碁澈有专卖店
包邮租电脑游戏本出租高配本笔记本电竞本短租剪辑本同城批量租赁,240.0,3000元以下,其他品牌,游戏本,北京,未知,100.0,益胜租赁电脑音响LED大屏租赁
双屏触摸全面屏2024新品触控笔记本电脑官方正品英特尔酷睿i7商务办公游戏PC平板二合一360度翻转折叠,1598.0,3000元以下,其他品牌,游戏本,广东,深圳,2000.0,帕米仕旗舰店
宏碁acer 优跃air 英特尔N100四核 14英寸IPS屏 轻薄便携学生笔记本电脑 商务办公本上网本宏基手提电脑,1798.35,3000元以下,宏碁,轻薄本,广东,广州,24.0,宏碁壹信专卖店
华为笔记本电脑轻薄i7办公商务超薄大学生电竞游戏本高配手提电脑,768.0,3000元以下,华为,轻薄本,广东,广州,30.0,奋明电脑商城
神舟 新战神T8 D93E9D64PROPLUS RTX40704060独显游戏笔记本,5881.0,5000-7000元,神舟,游戏本,北京,未知,12.0,神船首都号
Lenovo联想拯救者 R7000P Y7000P 2024学生电竞游戏本笔记本电脑,6588.0,5000-7000元,联想,游戏本,北京,未知,24.0,校园电竞商城
HP惠普ZHAN 战99锐龙酷睿24款16英寸移动工作站设计师笔记本电脑,4849.0,3000-5000元,惠普,其他类型,上海,未知,65.0,惠普品牌直销店
荣耀 MagicBook 1414 Pro 2023款高性能轻薄游戏本笔记本电脑X14,3199.0,3000-5000元,荣耀,轻薄本,上海,未知,200.0,荣耀笔记本店
Asus华硕 天选 天选3Plus 天选4学生游戏本游戏笔记本电脑2023款,6193.87,5000-7000元,华硕,游戏本,广东,广州,200.0,华硕正品数码商行
新品首发联想ThinkPad E14E16 2024新款英特尔酷睿Ultra57 AI全能本14英寸轻薄便携商务办公笔记本电脑,6299.0,5000-7000元,联想,轻薄本,福建,厦门,6.0,thinkpad恒瀚专卖店
24款联想拯救者Y7000P R7000大学生学习设计电竞游戏本笔记本电脑,6588.0,5000-7000元,联想,游戏本,江苏,南京,800.0,鸿程电脑企业店
Xiaomi小米 Redmi G 游戏本2022新款学生吃鸡独显红米笔记本电脑,3828.0,3000-5000元,小米,游戏本,湖北,武汉,78.0,翔宇数码商行
荣耀MagicBook1415锐龙版学生设计办公游戏商务2024款笔记本电脑,1888.0,3000元以下,荣耀,游戏本,北京,未知,400.0,阳光数码科技品牌店
HP惠普战66七代1416英寸锐龙R5 R7酷睿i5 i7商务办公笔记本电脑,3249.0,3000-5000元,惠普,其他类型,上海,未知,100.0,惠普品牌直销店
Asus华硕顽石E410E510英特尔4核轻薄办公家用学习网课笔记本电脑,1788.0,3000元以下,华硕,轻薄本,北京,未知,25.0,校园电竞商城
HP惠普暗影精灵10 9 9Plus SlimPro光影暗夜笔记本电脑游戏本4060,6298.0,5000-7000元,惠普,游戏本,上海,未知,200.0,暗影精灵游戏本正品店
DELL戴尔灵越1416Pro13代i57轻薄本办公设计剪辑学生笔记本电脑,3299.0,3000-5000元,戴尔,轻薄本,江苏,南京,34.0,欣潮数码科技
Lenovo联想 拯救者 G5000 2024款 4060显卡 游戏设计笔记本电脑,6399.0,5000-7000元,联想,游戏本,江苏,南京,4.0,联想笔记本特惠商城
正品荣耀Magicbook X 14X16 Pro轻薄商务办公学生游戏笔记本电脑,2997.95,3000元以下,荣耀,轻薄本,上海,未知,67.0,12年诚信老店
新鲜出炉酷睿i7高性能双屏笔记本电脑双屏双触摸游戏设计绘画,3493.87,3000-5000元,其他品牌,游戏本,广东,深圳,10.0,科进电脑
HP惠普星星Bookpro131416 锐龙r7学生办公轻薄笔记本电脑,3048.0,3000-5000元,惠普,轻薄本,四川,成都,45.0,成都678数码商城
ThinkPad T14 2022 i71260P集显T14S轻薄商务办公笔记本联想IBM,2093.0,3000元以下,联想,轻薄本,广东,广州,4.0,木森科技港二手笔记本电脑
联想扬天V14V15 六核锐龙R5 14英寸轻薄便携商务办公学生游戏ThinkPad笔记本电脑苏宁易购官方旗舰店正品865,2599.0,3000元以下,联想,轻薄本,福建,厦门,20.0,苏宁易购官方旗舰店
24新款HP惠普 ProBook 445465 G11 AMD锐龙轻薄笔记本电脑  AI生态 商务办公学生女生网课手提轻薄电脑,3799.0,3000-5000元,惠普,轻薄本,广东,广州,7.0,HP惠普商用旗舰店
热卖促销HP惠普 星15青春版 156英寸轻薄笔记本电脑 AMD锐龙R75825U 100高色域屏大学生学习办公娱乐,2999.0,3000元以下,惠普,轻薄本,北京,未知,5.0,惠普锐博正业专卖店
HP惠普战99锐龙酷睿版24款 16英寸高性能笔记本设计师电脑工作站,4898.0,3000-5000元,惠普,其他类型,北京,未知,20.0,惠普笔记本电脑商城
现货速发华为笔记本电脑MateBook13S 笔记本电脑 12代英特尔酷睿处理器25K高刷触控屏轻薄办公学生商务,4949.0,3000-5000元,华为,轻薄本,北京,未知,6.0,华为宏威科锐专卖店
雷神911MT暗杀星黑武士酷睿i7轻薄便携学生吃鸡游戏本笔记本电脑,4893.87,3000-5000元,雷神,轻薄本,陕西,西安,45.0,雷神掌门人
2024新品HP惠普 暗影精灵10 可选14代酷睿i714650HX处理器RTX4060学生设计渲染161英寸游戏笔记本电脑,7499.0,7000-9000元,惠普,游戏本,北京,未知,3.0,惠普锐博正业专卖店
热销爆款联想ThinkBook13X 酷睿i5i7 英特尔EVO认证 133英寸超轻薄便携学生商务办公25K屏笔记本电脑,4999.0,3000-5000元,联想,轻薄本,福建,厦门,48.0,thinkpad恒瀚专卖店
GPD pocket3掌上迷你笔记本电脑小型便携工程师运维游戏办公8英寸,3199.0,3000-5000元,其他品牌,游戏本,上海,未知,29.0,GPD电脑平价店
全新DELL库存机M7520M7720戴尔移动工作站笔记本电脑i7独显游戏本,3570.0,3000-5000元,戴尔,游戏本,上海,未知,51.0,锦程项目管理中心
联想ThinkBook Plus 17 触控屏173英寸商务办公轻薄笔记本电脑,7699.0,7000-9000元,联想,轻薄本,上海,未知,2.0,联想电脑正品自营店
Dell戴尔 工作站 5550 7550笔记本电脑3D绘图渲染建模仿真设计师,4900.0,3000-5000元,戴尔,其他类型,广东,广州,57.0,百星奇数码
24期免息微软Surface Pro 9 i7 16G 256G 512G平板电脑二合一Win11笔记本商务触屏电脑轻薄便携Pro9,9588.0,9000-10000元,微软,轻薄本,浙江,杭州,6.0,微软升捷专卖店
神舟HASEE战神S8 D6S8C4 独显直连 i712650H RTX4060 156英寸 金属C面 学生本游戏笔记本电脑,4799.0,3000-5000元,神舟,游戏本,北京,未知,10.0,神舟宏鑫骏达专卖店
