标题,价格,省份,城市,销量,店铺
联想ThinkBook15 12代酷睿i5 2022款 15.6英寸轻薄便携学生网课商务办公笔记本电脑苏宁易购官方旗舰【865】,3699.00,江苏,南京,8,苏宁易购官方旗舰店
Microsoft/微软Surface Laptop Go 2 3 i5 8GB/16GB 256GB笔记本电脑轻薄时尚12.4英寸商务学生触屏笔记本,3888.00,浙江,杭州,68,微软升捷专卖店
HP/惠普 惠普暗影 暗影精灵9 10 9Plus暗夜光影SLIM 14笔记本电脑,5598.00,上海,未知,34,沪金牌数码连锁实体店
Lenovo/联想ThinkPad新款笔记本电脑轻薄超便携i5/i7办公设计游戏,1099.00,广东,广州,32,ThankPad直售店铺
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
24期分期免息雷神笔记本电脑911Plus电竞笔记本电脑游戏本电竞笔记本13代i7RTX4060笔记本满血独显直连[1484],7899.00,江苏,南京,57,苏宁易购官方旗舰店
Xiaomi/小米 小米Pro 笔记本电脑红米12代全新未拆封游戏轻薄办公,1993.87,湖北,武汉,39,小米华南数码科技
二手笔记本电脑HP/惠普 zbook 15G3图形工作站I7四核独显17寸游戏,1293.00,广东,广州,100+,广州华誉电脑科技
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
【2024新款】HP惠普战系列七代锐龙版14/16英寸轻薄笔记本R5R7电脑女学生学习2.5K高色域低蓝光轻薄办公本275,3499.00,江苏,南京,1,苏宁易购官方旗舰店
ROG玩家国度 魔霸新锐2024 魔霸7Plus超能版电竞游戏本笔记本电脑,9288.00,河南,郑州,28,豫硕数码商城
[24期分期】【新品上市】机械师曙光16Air 英特尔酷睿Ultra7  轻薄本2.5K 120Hz屏笔记本电脑Ultra5[2804],4899.00,福建,厦门,2,苏宁易购官方旗舰店
小米Redmi G红米g游戏本2022新款锐龙16寸2023电竞3060笔记本电脑,2529.00,广东,广州,200+,冠格科技数码品牌店
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
华硕无畏14pro无畏15pro16 2024款Ultra9轻薄商务学生笔记本电脑,3149.00,浙江,杭州,17,全新正品笔记本电脑商城
Huawei/华为 MateBook E BL-w09 二合一平板电脑笔记本 12代酷睿,6649.00,北京,未知,2,晨雨通讯
ThinkPad P51 i7联想笔记本电脑P50移动图形工作站P52P53独立显卡,2468.00,广东,广州,79,Win Win数码二手笔记本电脑
ROG幻16 Air 2024款星空版翻转版办公轻薄高性能设计游戏笔记本,9850.00,湖北,武汉,100+,武汉电竞自营店
新款Apple/苹果笔记本电脑MacBookPro商务学生办公设计M1游戏本i9,2488.00,广东,深圳,6,皇家本本
联想thinkpad超薄X1 carbon yoga2018商务办公用i7笔记本电脑2019,2399.00,广东,广州,100+,千度数码联想Thinkpad笔记本
【12期免息】联想ThinkPad X13 2024新款酷睿Ultra5/7 13.3英寸轻薄便携商务学生办公手提笔记本电脑官方旗舰,6399.00,福建,厦门,23,thinkpad新启联专卖店
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
Asus/华硕灵耀Pro16灵耀X双屏双触控轻薄学生商务办公笔记本电脑,4293.87,北京,未知,27,ROG玩家国度数码商城
华硕灵耀X14太空版 12代酷睿I7 14英寸标压高色域轻薄高性能手提办公笔记本电脑,4093.87,江苏,南京,25,华硕点个赞专卖店
Hasee/神舟 战神 Z7游戏本Z8独显6G吃鸡3060笔记本电脑i9 RTX4060,1370.87,广东,广州,7,励诚优品数码
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
华硕游戏笔记本电脑ROG玩家国度魔霸3060天选3独显3070联想拯救者,2995.00,广东,深圳,27,品牌游戏本直销店
8寸手写触摸屏迷你掌上游戏笔记本电脑7轻薄便携商务办公手提电脑,2140.42,广东,深圳,23,领峰笔记本电脑工厂店
Lenovo/联想 小新Air 14 2023 2022 2021 笔记本电脑轻薄本学生,1806.00,广东,广州,41,百佳笔记本科技
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
联想开天N4620Z/N80Z/N60Z/N4720Z国产化笔记本电脑麒麟统信系统,4300.00,江苏,南京,37,国产信创企采购
Hasee/神舟 战神T8/Z8D6/S8/G8D6/Z7/RTX4060神州游戏笔记本电脑,4888.00,北京,未知,13,神船战神游戏本店
HP/惠普星BookPro13 2024锐龙版2.5K轻薄星Air学习商务笔记本电脑,4799.00,北京,未知,36,惠普笔记本电脑商城
机械革命2024款蛟龙16K/16Pro独显直连RTX4060学生游戏笔记本电脑,5399.00,湖北,武汉,7,武汉港边商贸游戏本
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
Microsoft/微软 - - Laptop 4 商业专用版笔记本电脑办公便携轻薄,2899.00,安徽,合肥,7,全球数码搬运工
HP/惠普 战系列 战66五代六代酷睿锐龙版轻薄本商务笔记本电脑,2899.00,北京,未知,55,惠普笔记本电脑商城
华为笔记本电脑Matebook14 D16SE轻薄本商务办公学习电竞i7超极本,1139.00,广东,深圳,3,福豪数码通讯
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
【pc平板二合一】迷你笔记本电脑8英寸触屏可翻转小尺寸掌上电脑商务办公轻薄本便携女生手提口袋电脑2024款,2393.87,广东,深圳,200+,toposh旗舰店
正品荣耀MagicBook 14Pro23款游戏学生商务独显网办公笔记本电脑,3877.65,上海,未知,100+,12年诚信老店
【新品】HP/惠普 暗影精灵9 光影精灵9 可选13代i7酷睿RTX4060电竞游戏本16.1英寸高性能设计笔记本电脑,4693.87,北京,未知,100+,惠普圣东方国信专卖店
Lenovo/联想 拯救者 Y9000P 2022款R9000P办公学生游戏笔记本电脑,3583.87,江西,南昌,10,京夕数码店
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
小米3060电竞笔记本4060红米Redmi G学生游戏本电脑i7吃鸡i5联想,2892.00,广东,深圳,0,品牌游戏本直销店
Hasee/神舟 战神 Z7/Z8D6/S8/G8R9/G9/RTX4060神舟游戏笔记本电脑,3988.00,北京,未知,21,神舟静鑫恒晟专卖店
机械革命 无界14Pro 学生轻薄本 办公游戏笔记本电脑高颜值新款,4599.00,北京,未知,73,笔记本官企业自销
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
Acer/宏碁蜂鸟设计师专用高端电竞绘图全能英特尔商务办公轻薄女士游戏高配置学习性能级分期付款笔记本电脑,1693.87,河北,石家庄,36,宏碁大运专卖店
ROG枪神8 枪神7 Plus 超竞版 14代酷睿i9 4090游戏电竞笔记本电脑,8899.00,江苏,南京,100+,官企笔记本电脑商城
Acer/宏碁 掠夺者·擎Neo 14代酷睿i5/i7/i9电竞游戏本笔记本电脑,7479.00,湖南,长沙,7,宏碁电脑商城
【ReaimX新款】笔记本电脑英特尔N95轻薄便携大学生超薄商务办公工作设计绘图高端电竞游戏官方正品独显手提7,1427.58,浙江,杭州,6,天天特卖工厂店
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
ThinkPad P52S i7独显移动工作站53S笔记本电脑580联想T590/P15S,1507.83,广东,广州,59,木森科技港二手笔记本电脑
联想ThinkPad Thinkbook14+ 16+ 2024款AIPC电脑Ultra7联想笔记本,4799.00,北京,未知,2,Think企业店
Microsoft/微软Surface Laptop 5 i5 i7 16GB 512GB 13.5英寸时尚商务轻薄便携笔记本电脑12代酷睿Laptop6,7688.00,浙江,杭州,86,微软升捷专卖店
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
ThinkPad E14系列 i5联想E15 E490 E480 E590办公商务笔记本电脑,1401.37,江苏,南京,86,老表数码
Acer/宏碁 非凡 Go16轻薄本非凡16英寸教育学生办公笔记本电脑,1899.00,山东,烟台,4,范范数码商城
小米Redmi g游戏本2022 i5i7锐龙RTX3060 16寸吃鸡电竞笔记本电脑,2588.00,广东,广州,14,广州瀚彬科技
thinkpad联想P51 P52移动P50办公P15v工作站P53图形p17笔记本电脑,2999.00,广东,广州,200+,千度数码联想Thinkpad笔记本
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
Lenovo/联想 小新 air14 锐龙R5轻薄便携Air15游戏办公笔记本电脑,2399.00,广东,深圳,900+,联想正品数码科技
【12期免息】联想ThinkPad T14/T14s 锐龙R7八核 14英寸商务办公手提笔记本电脑学生轻薄便携游戏IBM官方正品,4999.00,福建,厦门,46,thinkpad恒瀚专卖店
Lenovo/联想昭阳E5轻薄K4e支持双硬盘办公学习笔记本电脑带网口,1800.00,广东,广州,12,联想本本之家
2024新品HP/惠普 暗影精灵10Slim 14代酷睿i9-14900HX RTX4060 16,10799.00,北京,未知,2,惠普锐博正业专卖店
ThinkPad联想ThinkBook 16+ i5标压16英寸便携轻薄笔记本电脑,5299.00,上海,未知,44,天猫超市
Acer/宏碁掠夺者·擎Neo RTX4060游戏笔记本电脑13代酷睿13500HX高性能骨灰玩家级2.5k/165hz电竞屏,6646.00,河南,郑州,100+,宏碁云之巅专卖店
Xiaomi/小米 RedmiBook 16 2024款i5 13500H办公轻薄 笔记本电脑,3099.00,上海,未知,92,忠勇数码
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
23款苹果MacBookPro官方翻新机14寸16寸寸M2 M3笔记本电脑官翻机,12894.87,北京,未知,12,Macyang二手数码优品店
外星人笔记本电脑X14 X16R2 M18 M16 X14R2 M18R2 外星人游戏本,9500.00,四川,成都,50,高个子外星人
Apple/苹果MacBook Air 13英寸笔记本电脑M2芯片,7999.00,上海,未知,100+,极客优选正品店
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
华硕a豆14 Pro12/13代酷睿i5办公学生14英寸轻薄笔记本电脑官翻,2499.00,江苏,南京,100+,a豆笔记本商城
DELL戴尔灵越13Pro13代i5/i7轻薄办公设计剪辑学生笔记本电脑5330,3399.00,北京,未知,63,品牌电脑之家
【新品上市】HP/惠普战X 7000系列锐龙R7/R9处理器16/14英寸学生办公CAD视频剪辑设计师图形设计笔记本电脑,5099.00,广东,广州,11,hp安答专卖店
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
Lenovo/联想 v15 V15 i5-13420H 16G 15.6寸扬天便携笔记本电脑,2999.00,江苏,扬州,83,政企采购中心
HP/惠普 zbook 15G5图形设计工作站17G3三维建模i7六核笔记本电脑,1685.87,广东,广州,55,广州亿科贸易有限公司
【热卖促销】HP/惠普 战99锐龙版R7标压15.6英寸可选RTX2000ada独显2.5K 120Hz 3D建模制图 设计师笔记本电脑,5499.00,北京,未知,65,惠普锐博正业专卖店
【官方正品】火影T6A T5A R5/R7 RTX独立显卡3050 16英寸2.5K屏165hz游戏本笔记本电脑学生本 便携笔记本电脑,3999.00,江苏,苏州,100+,火影旗舰店
Dell/戴尔灵越16Plus7610防蓝光3K屏16寸笔记本,5023.87,江苏,南京,100+,戴尔自营企业店
HP/惠普笔记本电脑i7游戏本大学生网课超薄手提商务办公轻薄便携,998.00,广东,广州,36,惠普笔记本 电脑商城
DELL/戴尔2023灵越14Plus 13代酷睿笔记本电脑建模设计轻薄本7430,4893.87,江苏,南京,23,戴尔自营企业店
联想YOGA 14C 2022款酷睿超轻薄翻转触控笔记本电脑YOGA AIR14C,1998.00,湖南,长沙,45,EINHORN的本本
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
honor/荣耀 MagicBook Pro i5酷睿Ultra7 AI轻薄高性能16电脑炫炬,5399.00,上海,未知,6,牛牛数码0909
【新品现货】联想小新Pro16超能本 2023旗舰锐龙版 标压R7 16英寸大屏学习办公轻薄本笔记本电脑 大屏轻薄本,4998.65,北京,未知,100+,联想联保专卖店
LG gram16英寸AI超轻薄本笔记本电脑英特尔酷睿Ultra7-155H高性能级便携笔记本电脑商务学生游戏笔记本电脑,8293.57,北京,未知,21,LG天恩志兴专卖店
【官方正品】迷你笔记本电脑触屏便携小尺寸商务出差办公平板二合一折叠12英寸轻薄本儿童学生绘画设计师专用,1763.87,广东,深圳,82,天业来数码专营店
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
Acer/宏碁 蜂鸟 未来 环保版 英特尔EVO认证 酷睿i5处理器 100%高色域 15.6英寸学生网课设计办公笔记本电脑,5446.00,湖南,长沙,5,宏碁澈有专卖店
雷神911Plus2024巨兽RTX4060学生吃鸡电竞大屏游戏笔记本电脑17寸,6788.00,上海,未知,100+,翔空数码港
包邮租电脑游戏本出租高配本笔记本电竞本短租剪辑本同城批量租赁,240.00,北京,未知,100+,益胜租赁电脑音响LED大屏租赁
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
【双屏触摸全面屏】2024新品触控笔记本电脑官方正品英特尔酷睿i7商务办公游戏PC平板二合一360度翻转折叠,1598.00,广东,深圳,2000+,帕米仕旗舰店
联想拯救者Y9000P/R9000P//Y7000P/R7000 4060学生游戏笔记本电脑,7299.00,北京,未知,34,笔记本官企业自销
宏碁/acer 优跃air 英特尔N100四核 14英寸IPS屏 轻薄便携学生笔记本电脑 商务办公本上网本宏基手提电脑,1798.35,广东,广州,24,宏碁壹信专卖店
Lenovo/联想 YOGA Pro16s AI元启 英特尔酷睿Ultra9 联想AIPC 16英寸轻薄本笔记本电脑559,13999.00,江苏,南京,3,苏宁易购官方旗舰店
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
华为笔记本电脑轻薄i7办公商务超薄大学生电竞游戏本高配手提电脑,768.00,广东,广州,30,奋明电脑商城
神舟 新战神T8 D93/E9/D64/PRO/PLUS RTX4070/4060独显游戏笔记本,5881.00,北京,未知,12,神船首都号
Lenovo/联想拯救者 R7000P Y7000P 2024学生电竞游戏本笔记本电脑,6588.00,北京,未知,24,校园电竞商城
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
HP/惠普ZHAN 战99锐龙酷睿24款16英寸移动工作站设计师笔记本电脑,4849.00,上海,未知,65,惠普品牌直销店
荣耀 MagicBook 14/14 Pro 2023款高性能轻薄游戏本笔记本电脑X14,3199.00,上海,未知,200+,荣耀笔记本店
Asus/华硕 天选 天选3Plus 天选4学生游戏本游戏笔记本电脑2023款,6193.87,广东,广州,200+,华硕正品数码商行
【新品首发】联想ThinkPad E14/E16 2024新款英特尔酷睿Ultra5/7 AI全能本14英寸轻薄便携商务办公笔记本电脑,6299.00,福建,厦门,6,thinkpad恒瀚专卖店
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
24款联想拯救者Y7000P R7000大学生学习设计电竞游戏本笔记本电脑,6588.00,江苏,南京,800+,鸿程电脑企业店
Xiaomi/小米 Redmi G 游戏本2022新款学生吃鸡独显红米笔记本电脑,3828.00,湖北,武汉,78,翔宇数码商行
荣耀MagicBook14/15锐龙版学生设计办公游戏商务2024款笔记本电脑,1888.00,北京,未知,400+,阳光数码科技品牌店
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
HP/惠普战66七代14-16英寸锐龙R5 R7酷睿i5 i7商务办公笔记本电脑,3249.00,上海,未知,100+,惠普品牌直销店
Asus/华硕顽石E410E510英特尔4核轻薄办公家用学习网课笔记本电脑,1788.00,北京,未知,25,校园电竞商城
HP惠普暗影精灵10 9 9Plus SlimPro光影暗夜笔记本电脑游戏本4060,6298.00,上海,未知,200+,暗影精灵游戏本正品店
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
DELL/戴尔灵越14/16Pro13代i57轻薄本办公设计剪辑学生笔记本电脑,3299.00,江苏,南京,34,欣潮数码科技
Lenovo/联想 拯救者 G5000 2024款 4060显卡 游戏设计笔记本电脑,6399.00,江苏,南京,4,联想笔记本特惠商城
正品荣耀Magicbook X 14/X16 Pro轻薄商务办公学生游戏笔记本电脑,2997.95,上海,未知,67,12年诚信老店
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
【新鲜出炉】酷睿i7高性能双屏笔记本电脑双屏双触摸游戏设计绘画,3493.87,广东,深圳,10,科进电脑
HP/惠普星星Bookpro13/14/16 锐龙r7学生办公轻薄笔记本电脑,3048.00,四川,成都,45,成都678数码商城
ThinkPad T14 2022 i7-1260P/集显T14S轻薄商务办公笔记本联想IBM,2093.00,广东,广州,4,木森科技港二手笔记本电脑
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
联想扬天V14/V15 六核锐龙R5 14英寸轻薄便携商务办公学生游戏ThinkPad笔记本电脑苏宁易购官方旗舰店正品865,2599.00,福建,厦门,20,苏宁易购官方旗舰店
【24新款】HP/惠普 ProBook 445/465 G11 AMD锐龙轻薄笔记本电脑  AI生态 商务办公学生女生网课手提轻薄电脑,3799.00,广东,广州,7,HP惠普商用旗舰店
【热卖促销】HP/惠普 星15青春版 15.6英寸轻薄笔记本电脑 AMD锐龙R7-5825U 100%高色域屏大学生学习办公娱乐,2999.00,北京,未知,5,惠普锐博正业专卖店
HP/惠普战99锐龙酷睿版24款 16英寸高性能笔记本设计师电脑工作站,4898.00,北京,未知,20,惠普笔记本电脑商城
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
【现货速发】华为笔记本电脑MateBook13S 笔记本电脑 12代英特尔酷睿处理器2.5K高刷触控屏轻薄办公学生商务,4949.00,北京,未知,6,华为宏威科锐专卖店
雷神911MT暗杀星黑武士酷睿i7轻薄便携学生吃鸡游戏本笔记本电脑,4893.87,陕西,西安,45,雷神掌门人
【2024新品】HP/惠普 暗影精灵10 可选14代酷睿i7-14650HX处理器RTX4060学生设计渲染16.1英寸游戏笔记本电脑,7499.00,北京,未知,3,惠普锐博正业专卖店
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
【热销爆款】联想ThinkBook13X 酷睿i5/i7 英特尔EVO认证 13.3英寸超轻薄便携学生商务办公2.5K屏笔记本电脑,4999.00,福建,厦门,48,thinkpad恒瀚专卖店
GPD pocket3掌上迷你笔记本电脑小型便携工程师运维游戏办公8英寸,3199.00,上海,未知,29,GPD电脑平价店
全新DELL库存机M7520M7720戴尔移动工作站笔记本电脑i7独显游戏本,3570.00,上海,未知,51,锦程项目管理中心
联想ThinkBook Plus 17 触控屏17.3英寸商务办公轻薄笔记本电脑,7699.00,上海,未知,2,联想电脑正品自营店
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
Dell/戴尔 工作站 5550 7550笔记本电脑3D绘图渲染建模仿真设计师,4900.00,广东,广州,57,百星奇数码
【24期免息】微软Surface Pro 9 i7 16G 256G 512G平板电脑二合一Win11笔记本商务触屏电脑轻薄便携Pro9,9588.00,浙江,杭州,6,微软升捷专卖店
神舟(HASEE)战神S8 D6/S8C4 独显直连 i7-12650H RTX4060 15.6英寸 金属C面 学生本游戏笔记本电脑,4799.00,北京,未知,10,神舟宏鑫骏达专卖店
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
华硕灵耀14 2.8K轻薄笔记本商务办公OLED高清屏酷睿i5/i7电脑苏宁易购官方旗舰店正品1634,5299.00,江苏,南京,6,苏宁易购官方旗舰店
4060独显华硕游戏笔记本电脑i7玩家国度ROG天选2学生联想分期3060,1816.00,广东,深圳,4,大学生电竞笔记本商城
Huawei/华为 笔记本电脑 Matebook 擎云S540 G540 Gen2  办公电脑,3400.00,上海,未知,32,上海太平洋数码精品店
【试用7天】GPD MicroPC迷你掌上笔记本电脑6英寸办公炒股出差轻薄便携小电脑win10口袋电脑UMPC带网口,2489.00,广东,深圳,49,gamepaddigital旗舰店
2024新品HP/惠普战66六代七代笔记本酷睿Ultra处理器2050独显2.5K高性,3849.00,江苏,南京,41,惠普推星专卖店
【2023新品酷睿i7】笔记本电脑英特尔轻薄便携大学生超薄商务办公,988.00,广东,深圳,20,方技数码店
【现货现发】GPD Pocket3 迷你便携二合一平板掌上笔记本商务电脑win10手写8英寸轻薄超极本指纹识别触屏出差,3399.00,广东,深圳,29,gpd天成专卖店
HP/惠普 惠普 战99 战99-AMD 酷睿笔记本电脑 高刷高色域 工作站,4939.00,上海,未知,100+,惠普电脑商城
LG gram17英寸超轻薄本笔记本电脑2024新款英特尔酷睿Ultra7-155H高性,9693.42,北京,未知,21,LG天恩志兴专卖店
Lenovo/联想 Yoga BOOK9i 双屏翻转本商务办公网课设计笔记本电脑,13499.25,北京,未知,8,北京笔记本电脑实体店
Xiaomi/小米 笔记本Pro i7笔记本12代触屏2050独显16办公游戏电脑,4088.00,广东,佛山,36,广州悦动科技
机械革命蛟龙16Q翼龙15pro4060电竞游戏笔记本便携渲染笔记本电脑,5999.00,江苏,苏州,500+,机械革命游戏本数码商城
Hasee/神舟 战神 Z8D6/T8/S8/G8D6/Z7/RTX4060神州游戏笔记本电脑,3988.00,北京,未知,18,北京神舟战神店
IP65双屏三屏全加固工业三防笔记本电脑工业移动工作站服务器电脑,23800.00,广东,东莞,4,鑫控特种计算机
【热销爆款】华硕天选4 天选3代 13代i7电竞游戏本4060笔记本电脑,5999.00,江苏,南京,200+,电脑正品商城
Lenovo/联想 拯救者 R9000P Y7000P Y9000P R7000 游戏笔记本电脑,6399.00,江苏,南京,100+,联想笔记本特惠商城
HONOR/荣耀MagicBook14X/16pro锐龙轻薄全面屏办公游戏笔记本电脑,2368.00,江苏,南京,22,欣潮数码科技
2024新款联想ThinkBook16P 14代酷睿i7/i9 RTX4060独显笔记本电脑,9999.00,福建,厦门,9,thinkpad新启联专卖店
小米笔记本XiaomiBook Pro 16/14寸4K超清OLED触控屏轻薄本电脑,4699.00,湖北,武汉,100+,米粉数码科技
Asus/华硕天选4 锐龙R7独显RTX4060游戏本15.6英寸学生笔记本电脑,5399.00,湖北,武汉,100+,佰嘉百亿数码商城
华为触屏笔记本电脑MateBook E二合一双屏酷睿i7独显办公学习电竞,1233.87,广东,深圳,5,正品数码产品直售店
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
荣耀magicbook14笔记本酷睿i5/i7轻薄2024新商务游戏设计电脑X16,1909.00,北京,未知,300+,海威数码科技品牌店
【2024新款RTX3060】笔记本电脑旗舰正品次元战神6G独显直连英特尔酷睿i7高端笔记本大学生电竞手提吃鸡游戏,1899.00,广东,深圳,24,UIG旗舰店
ROG玩家国度幻14幻15幻16华硕2024款设计师轻薄高性能笔记本电脑,6899.00,北京,未知,42,华硕游戏笔记本自营店
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
【官方正品】迷你笔记本电脑触屏便携小尺寸商务办公本出差平板二合一折叠12英寸轻薄本儿童学生绘画设计专用,1763.87,广东,深圳,43,天业来数码专营店
宏碁（acer）2024新款暗影骑士·擎5笔记本电脑15.6英寸电竞屏高色域独显满血功耗高性能游戏本,5989.00,安徽,合肥,2,鑫一宏数码专营店
联想ThinkBook14/15/16 超轻薄商务办公学生设计剪辑笔记本电脑,3349.00,北京,未知,54,品牌电脑之家
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
七彩虹隐星p15将星x15/17学生游戏设计笔记本电脑电竞满血RTX4060,3694.00,江西,南昌,13,星星电脑品牌优惠店
ROG玩家国度魔霸新锐2024华硕7plus超能版败家之眼4060笔记本电脑,8731.00,北京,未知,22,华硕天选自营商城
联想小新Pro16 AI元启2024锐龙R7-8845H酷睿Ultra9轻薄笔记本电脑,4899.00,北京,未知,94,鼎科数码商城
Lenovo/联想 拯救者 Y9000X P Y7000P 2024 冰魄白游戏设计笔记本,7299.00,北京,未知,96,北京笔记本电脑实体店
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
【新品首发】微星/MSI 绝影16/14 Ai Studio 2024全新Ultra7  RTX4060独显直连2.5K240Hz轻薄全能游戏本电脑,11799.00,上海,未知,26,微星游戏本旗舰店
MIUI/小米 RedmiBook 14笔记本电脑轻薄商务办公学生红米1516pro,1599.00,北京,未知,3,Ultrabook建外soho线下体验店
机械革命蛟龙16Pro学生轻薄电竞游戏笔记本电脑,7699.00,上海,未知,28,机械革命笔记本数码店
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本2.5K LG原厂防,9193.72,上海,未知,33,LG笔记本旗舰店
17寸笔记本电脑HP/惠普 zbook 15 G6 移动图形工作站渲染设计建模,1745.68,广东,广州,28,锐澳数码
【新品现货】Lenovo/联想ThinkBook14P 锐龙R7标压 14英寸2.2K屏轻薄游戏笔记本电脑大学生商务办公官方旗舰,3699.00,福建,厦门,36,thinkpad恒瀚专卖店
Xiaomi/小米 Redmi G 游戏本 XMG2003-AJ 2022全新未拆封全国联保,4493.87,湖北,武汉,15,小米华南数码科技
2022年新款苹果笔记本电脑MacBookPro超薄M2八核商务游戏设计剪辑,4282.87,广东,深圳,2,14年老店皇家数码严选 苹果笔记本电脑
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.00,北京,未知,2,外星人长虹佳华专卖店
【移动工作站】联想ThinkPad P15V 标压i5/i7 4G独显15.6英寸3D绘图设计游戏移动图形工作站笔记本电脑IBM,6249.00,江苏,无锡,7,thinkpad中硕专卖店
新品努比亚红魔电竞游戏本6月新品上市最新款红魔笔记本电脑,29999.00,上海,未知,0,君川数码商城
联想ThinkPad X1 Carbon20轻薄高端商务旗舰办公22笔记本电脑,3288.00,浙江,杭州,14,联想正品一店
2024新品联想 拯救者G5000 酷睿i7 拯救者升级版15.6英寸独显电竞玩家,6488.25,江苏,南京,23,联想冉创专卖店
吾空凌云X15锐龙R5-6600游戏本15.6英寸2.5K超清屏办公笔记本电脑,2799.00,广东,深圳,0,小丸子和白骨精
MECHREVO/机械革命 蛟龙16K R7 7735H/RTX4060游戏笔记本电脑,3899.00,江苏,南京,13,笔记本优品电脑商行
